gut_id,title,authors,languages,downloads,subjects,gutenberg_epub_url
4344,Marie; a story of Russian love,"Pushkin, Aleksandr Sergeevich",en,351,"Catherine II, Empress of Russia, 1729-1796 -- Fiction; Pugachev, Emelian Ivanovich, -1775 -- Fiction; Russia -- Armed forces -- Officers -- History -- 18th century -- Fiction; Russia -- History -- Rebellion of Pugachev, 1773-1775 -- Fiction; Russia -- Social life and customs -- 18th century -- Fiction",https://www.gutenberg.org/ebooks/4344.epub3.images
5040,State of the Union Addresses,"Eisenhower, Dwight D. (Dwight David)",en,351,Presidents -- United States -- Messages; United States -- Politics and government -- Sources,https://www.gutenberg.org/ebooks/5040.epub3.images
18165,Russian Rambles,"Hapgood, Isabel Florence",en,351,Russia -- Description and travel,https://www.gutenberg.org/ebooks/18165.epub3.images
20643,The Character and Influence of the Indian Trade in Wisconsin,"Turner, Frederick Jackson",en,351,Fur trade -- United States; Indians of North America -- Wisconsin; Trading posts -- Wisconsin; Wisconsin -- History -- To 1848,https://www.gutenberg.org/ebooks/20643.epub3.images
44266,Katia,"Tolstoy, Leo, graf",en,351,Man-woman relationships -- Fiction; Marriage -- Fiction; Russia -- Social life and customs -- 19th century -- Fiction,https://www.gutenberg.org/ebooks/44266.epub3.images
45711,Radiant Motherhood: A Book for Those Who are Creating the Future,"Stopes, Marie Carmichael",en,351,Mothers,https://www.gutenberg.org/ebooks/45711.epub3.images
61029,"The Common Nature of Epidemics, and their relation to climate and civilization","Smith, Southwood",en,351,Communicable diseases; Epidemics; Quarantine,https://www.gutenberg.org/ebooks/61029.epub3.images
61230,The Geology of Button Bay State Park,"Dodge, Harry W.",en,351,Geology -- Vermont -- Button Bay State Park,https://www.gutenberg.org/ebooks/61230.epub3.images
20369,"Notes and Queries, Number 190, June 18, 1853: A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",Various,en,350,Questions and answers -- Periodicals,https://www.gutenberg.org/ebooks/20369.epub3.images
41044,"English and Scottish Ballads, Volume VII",Unknown,en,350,"Ballads, English -- England -- Texts; Ballads, Scots -- Scotland -- Texts",https://www.gutenberg.org/ebooks/41044.epub3.images
46883,Goethe and Schiller: An Historical Romance,"Mühlbach, L. (Luise)",en,350,"Goethe, Johann Wolfgang von, 1749-1832 -- Fiction; Schiller, Friedrich, 1759-1805 -- Fiction",https://www.gutenberg.org/ebooks/46883.epub3.images
49279,"Health: How to get it and keep it.: The hygiene of dress, food, exercise, rest, bathing, breathing, and ventilation.","Woods, Walter V.",en,350,Health; Hygiene,https://www.gutenberg.org/ebooks/49279.epub3.images
50286,The Wicker Work Woman: A Chronicle of Our Own Times,"France, Anatole",en,350,French fiction -- Translations into English,https://www.gutenberg.org/ebooks/50286.epub3.images
70973,The agricultural and forest products of British West Africa,"Dudgeon, Gerald C. (Gerald Cecil)",en,350,"Agriculture -- Africa, West; Forest products -- Africa, West",https://www.gutenberg.org/ebooks/70973.epub3.images
1707,A History of Science — Volume 3,"Williams, Henry Smith, Williams, Edward Huntington",en,349,Science -- History,https://www.gutenberg.org/ebooks/1707.epub3.images
17000,"Of the Orthographie and Congruitie of the Britan Tongue: A Treates, noe shorter than necessarie, for the Schooles","Hume, Alexander, schoolmaster",en,349,English language -- Orthography and spelling -- Early works to 1800,https://www.gutenberg.org/ebooks/17000.epub3.images
27842,The Economic Aspect of Geology,"Leith, C. K. (Charles Kenneth)",en,349,"Geology, Economic",https://www.gutenberg.org/ebooks/27842.epub3.images
52655,"The Ornithosauria: An elementary study of the bones of Pterodactyles made from fossil remains found in the Cambridge Upper Greensand, and arranged in the Woodwardian Museum of the University of Cambridge","Seeley, H. G. (Harry Govier)",en,349,Pterosauria,https://www.gutenberg.org/ebooks/52655.epub3.images
58962,Making Home Profitable,"Saint Maur, Kate V. (Kate Vandenhoff)",en,349,Agriculture; Country life,https://www.gutenberg.org/ebooks/58962.epub3.images
71153,The sacred dance : $b A study in comparative folklore,"Oesterley, W. O. E. (William Oscar Emil)",en,349,Dance -- Religious aspects -- History,https://www.gutenberg.org/ebooks/71153.epub3.images
330,Where There's a Will,"Rinehart, Mary Roberts",en,348,Detective and mystery stories; Health resorts -- Fiction; Humorous stories; Impersonation -- Fiction; Love stories; Man-woman relationships -- Fiction,https://www.gutenberg.org/ebooks/330.epub3.images
29226,"The Fall of British Tyranny; Or, American Liberty Triumphant","Leacock, John",en,348,"American drama; Tragicomedy; United States -- History -- Revolution, 1775-1783 -- Drama",https://www.gutenberg.org/ebooks/29226.epub3.images
41205,"Notes and Queries, Vol. V, Number 129, April 17, 1852: A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",Various,en,348,Questions and answers -- Periodicals,https://www.gutenberg.org/ebooks/41205.epub3.images
60334,"A Treatise on the Art of Midwifery: Setting Forth Various Abuses Therein, Especially as to the Practice With Instruments: the Whole Serving to Put All Rational Inquirers in a Fair Way of Very Safely Forming Their Own Judgement Upon the Question; Which It Is Best to Employ, in Cases of Pregnancy and Lying-in, a Man-midwife; Or, a Midwife","Nihell, Elizabeth",en,348,Midwifery -- Early works to 1800; Obstetrics -- Early works to 1800,https://www.gutenberg.org/ebooks/60334.epub3.images
62871,"Thoughts on a Pebble, or, A First Lesson in Geology","Mantell, Gideon Algernon",en,348,Geology -- Juvenile literature,https://www.gutenberg.org/ebooks/62871.epub3.images
63803,"The Forms of Water in Clouds and Rivers, Ice and Glaciers","Tyndall, John",en,348,Clouds; Glaciers; Ice; Rivers; Water,https://www.gutenberg.org/ebooks/63803.epub3.images
66268,The Atom and the Ocean,"Hull, E. W. Seabrook",en,348,Radioisotopes in oceanography,https://www.gutenberg.org/ebooks/66268.epub3.images
76837,Three essays,"Mann, Thomas",en,348,"Frederick II, King of Prussia, 1712-1786; Goethe, Johann Wolfgang von, 1749-1832; Occultism; Prussia (Germany) -- Foreign relations -- 1740-1815; Tolstoy, Leo, graf, 1828-1910",https://www.gutenberg.org/ebooks/76837.epub3.images
361,Miss Billy — Married,"Porter, Eleanor H. (Eleanor Hodgman)",en,347,Domestic fiction; Marriage -- Fiction; Married women -- Fiction,https://www.gutenberg.org/ebooks/361.epub3.images
1391,Penelope's Irish Experiences,"Wiggin, Kate Douglas Smith",en,347,Ireland -- Fiction,https://www.gutenberg.org/ebooks/1391.epub3.images
12144,"The Continental Classics, Volume XVIII., Mystery Tales: Including Stories by Feodor Mikhailovitch Dostoyevsky, Jörgen Wilhelm; Bergsöe and Bernhard Severin Ingemann",Various,en,347,Detective and mystery stories,https://www.gutenberg.org/ebooks/12144.epub3.images
14019,"The Harvard Classics, Volume 49, Epic and Saga: With Introductions And Notes",Unknown,en,347,Epic poetry; Sagas,https://www.gutenberg.org/ebooks/14019.epub3.images
14362,The Way of a Man,"Hough, Emerson",en,347,Historical fiction; Overland journeys to the Pacific -- Fiction; Wagon trains -- Fiction; West (U.S.) -- Social life and customs -- 19th century -- Fiction; Western stories,https://www.gutenberg.org/ebooks/14362.epub3.images
21993,The Devil's Pool,"Sand, George",en,347,"Pastoral fiction, French",https://www.gutenberg.org/ebooks/21993.epub3.images
25091,Reflections on Dr. Swift's Letter to Harley (1712) and The British Academy (1712),"Oldmixon, Mr. (John), Maynwaring, Arthur",en,347,"Académie française; British Academy, London (Founded ca. 1712); English language -- Early works to 1800; Swift, Jonathan, 1667-1745. Proposal for correcting, improving, and ascertaining the English tongue",https://www.gutenberg.org/ebooks/25091.epub3.images
41288,Beginners' Book in Language. A Book for the Third Grade,"Jeschke, Harry Jewett",en,347,English language -- Composition and exercises,https://www.gutenberg.org/ebooks/41288.epub3.images
46745,"The Action of Medicines in the System: Or, on the mode in which therapeutic agents introduced into the stomach produce their peculiar effects on the animal economy","Headland, Frederick William",en,347,Therapeutics,https://www.gutenberg.org/ebooks/46745.epub3.images
50399,Our Eternity,"Maeterlinck, Maurice",en,347,Death; Immortality; Spiritualism,https://www.gutenberg.org/ebooks/50399.epub3.images
52122,Hospital transports : $b A memoir of the embarkation of the sick and wounded from the peninsula of Virginia in the summer of 1862,"Olmsted, Frederick Law",en,347,"Hospital ships -- United States -- History -- 19th century; Hospital ships -- Virginia -- History -- 19th century; Medical personnel -- United States -- Correspondence; Peninsular Campaign, 1862; Transports -- United States -- History -- 19th century; Transports -- Virginia -- History -- 19th century; United States -- History -- Civil War, 1861-1865 -- Hospitals; United States -- History -- Civil War, 1861-1865 -- Medical care; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States Sanitary Commission",https://www.gutenberg.org/ebooks/52122.epub3.images
59862,American renaissance; a review of domestic architecture,"Dow, Joy Wheeler",en,347,"Architecture -- United States; Architecture, Domestic",https://www.gutenberg.org/ebooks/59862.epub3.images
69222,The apparatus used by the Greeks and Romans in the setting of fractures and the reduction of dislocations,"Milne, John Stewart",en,347,Dislocations -- Treatment -- History; Fractures -- Treatment -- History; Surgical instruments and apparatus -- Greece; Surgical instruments and apparatus -- Rome,https://www.gutenberg.org/ebooks/69222.epub3.images
70434,Americans by adoption : $b Brief biographies of great citizens born in foreign lands,"Husband, Joseph",en,347,United States -- Biography,https://www.gutenberg.org/ebooks/70434.epub3.images
6783,"Fiesco; or, the Genoese Conspiracy: A Tragedy","Schiller, Friedrich",en,346,"Fiéschi, Gian Luigi, conte di Lavagna, 1522-1547 -- Drama; Genoa (Italy) -- History -- Drama",https://www.gutenberg.org/ebooks/6783.epub3.images
25933,English as She is Wrote: Showing Curious Ways in which the English Language may be made to Convey Ideas or obscure them.,Anonymous,en,346,American wit and humor; English language -- Idioms,https://www.gutenberg.org/ebooks/25933.epub3.images
